GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(mph),Ratio (RPM/mph),5,4,3,2,1
Thu Jan 11 19:07:21 EST 2018,07:20.7,-85.63779184,38.18745206,0,4.5509996,116,0,-0.39123535,9.47019958,3.83927917,0.03347712,855.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:22 EST 2018,07:21.7,-85.63778828,38.18745546,0,4.5509996,116,0,-0.4402771,9.4851532,3.87817383,0.03798884,851.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:23 EST 2018,07:22.7,-85.63778648,38.18745887,0,4.5509996,116,0,-0.05921936,9.14237976,3.2416687,0.00781333,838,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:24 EST 2018,07:23.7,-85.63778691,38.18745981,0,4.5509996,115,0,-0.24586487,9.41516113,3.77288818,0.03294226,848.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:25 EST 2018,07:24.7,-85.63778817,38.18746005,0,4.5509996,116,0,-0.4402771,9.49172974,3.91764832,0.03337707,855.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:26 EST 2018,07:25.7,-85.63778998,38.18745941,0,4.5509996,116,0,0.20159912,9.13879395,3.07836914,0.0327636,843.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:27 EST 2018,07:26.7,-85.63779142,38.18745772,0,4.5509996,116,0,-0.03889465,9.21476746,3.29969788,0.03408794,837,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:28 EST 2018,07:27.7,-85.63779323,38.1874565,0,4.5509996,117,0,-0.12921143,9.30987549,3.83450317,0.03604668,854.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:29 EST 2018,07:28.7,-85.63779369,38.18745516,0,4.5509996,117,0,-0.35473633,9.41217041,3.9750824,0.06113142,847.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:30 EST 2018,07:29.7,-85.63779269,38.18745481,0,4.5509996,117,0,-0.43011475,9.40977478,4.01097107,0.03501699,836.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:31 EST 2018,07:30.7,-85.6377918,38.18745498,0,4.5509996,118,0,0.23150635,9.13699341,2.95274353,0.03169324,834.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:32 EST 2018,07:31.7,-85.63779146,38.18745494,0,4.5509996,118,0,-0.04307556,9.2973175,3.54736328,0.03584264,838.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:33 EST 2018,07:32.7,-85.63779148,38.18745478,0,6.068,118,0,0.15673828,9.12982178,3.02513123,-0.00044626,839.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:34 EST 2018,07:33.7,-85.6377915,38.1874547,0,6.068,118,0,0.21714783,9.11546326,3.02153015,0.03295425,827.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:35 EST 2018,07:34.7,-85.63779154,38.18745466,0,6.068,118,0,-0.49711609,9.44805908,3.78305054,0.03350672,835.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:36 EST 2018,07:35.7,-85.6377916,38.1874546,0,6.068,118,0,-0.56590271,9.55932617,3.86021423,0.03516026,830.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:37 EST 2018,07:36.7,-85.63779169,38.18745454,0,4.5509996,118,0,-0.53718567,9.54496765,3.99182129,0.03487579,827.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:38 EST 2018,07:37.7,-85.63779179,38.18745446,0,4.5509996,118,0,-0.29252625,9.31108093,3.59461975,0.03024662,829.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:39 EST 2018,07:38.7,-85.63779187,38.18745439,0,4.5509996,118,0,-0.55154419,9.48095703,3.95773315,0.03500133,828.5,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:40 EST 2018,07:39.7,-85.63779196,38.18745433,0,4.5509996,118,0,-0.47677612,9.66999817,3.73999023,0.03586236,832.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:41 EST 2018,07:40.7,-85.63779202,38.18745428,0,4.5509996,118,0,-0.16091919,9.38824463,3.62872314,0.03569341,823,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:42 EST 2018,07:41.7,-85.63779206,38.18745424,0,4.5509996,118,0,0.17945862,9.07537842,2.97846985,0.03247588,818.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:43 EST 2018,07:42.7,-85.63779208,38.18745423,0,4.5509996,118,0,-0.41934204,9.53240967,3.9367981,0.03392929,814,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:44 EST 2018,07:43.7,-85.63779211,38.18745421,0,4.5509996,118,0,-0.46540833,9.53540039,3.94515991,0.03244422,824.25,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:45 EST 2018,07:44.7,-85.63779213,38.1874542,0,4.5509996,118,0,-0.3248291,9.1328125,3.07478333,0.03279759,817.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:46 EST 2018,07:45.7,-85.63779217,38.18745418,0,4.5509996,118,0,0.01435852,9.1986084,3.09751892,0.02978758,824.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
